회사명,채용 제목,근무지,직무 분야
이에이트(주),[코스닥 상장사] 이에이트 신입 및 경력 채용,서울 송파구,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅"
(주)맨파워그룹코리아,[수원/신입가능] 글로벌 기업 시냅틱스 Application Engineer,경기 수원시 영통구,"게임개발, 기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발"
(주)케이엠헬스케어,"의료산업 개발자 팀 리더급 인재 채용 (C#, Oracle/MSSQL)",서울전체 외,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅"
청오디피케이(주),도미노피자 각 부문(자회사 포함) 공개 채용,서울 강남구 외,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅"
(주)이수시스템,이수시스템 24년 경력직 채용,서울 서초구 외,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅"
캡슐미디어(주),캡슐미디어 (Executive Technology Director) 채용,서울 강남구,"게임개발, 기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발"
(주)엔젤로보틱스,2024 엔젤로보틱스 각 분야 채용 공고,경기 하남시 외,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 유지보수, QA/테스터"
(주)다우기술,다우기술 경력사원 대규모 인재영입,경기 성남시 분당구 외,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅"
(주)콘텐트리중앙,2024 콘텐트리중앙 IT부문 수시채용,서울 마포구 외,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발"
(주)유지에스,"개발자  모집 -  시스템 개발, 구축 및 DB분석 각 모집",부산 강서구,"기술지원, 데이터분석가, 데이터엔지니어, 앱개발, 웹개발"
(주)더존비즈온,[AI 개발] 더존비즈온 AI 개발자 채용,강원 춘천시,"기술지원, 데이터분석가, 백엔드/서버개발, 앱개발, 웹개발"
(주)케이티디에스,[kt ds] 2024년 각 부문별 경력사원 상시채용,서울 서초구,"게임개발, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅"
주식회사오프리메드,2024년 (주)오프리메드 하반기 프론트엔드 개발자 공개채용,경기 수원시 영통구,"기술지원, 데이터분석가, 데이터엔지니어, 앱개발, 웹개발"
(주)덴컴,[음성 AI 기업 덴컴] 프론트엔드 개발자 채용,서울 강남구 외,"데이터분석가, 앱개발, 웹개발, 웹마스터, 프론트엔드"
(주)엑스큐어넷,IT 보안솔루션 개발자 채용(Content Filter),서울 은평구,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅, 앱개발"
(주)케이엘넷,각 부문 신입/경력 채용공고,서울 강남구 외,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발"
(주)와이씨,YC-EXICON-SEMCNS GROUP 2024년도 하반기 신입사원 공개채용,경기 성남시 분당구 외,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발"
한국기술교육직업전문학교,[전액국비] Ai+JAVA풀스택/AWS클라우드보안 취업연계 모집중,부산 동래구 외,"게임개발, 기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발"
엘에스이모빌리티솔루션(주),2024년 4분기 부문별 신입/경력 수시채용,충북 청주시 흥덕구 외,"기술지원, 데이터분석가, 백엔드/서버개발, 앱개발, 웹개발"
(주)헥토이노베이션,헥토이노베이션 직군별 인재 모집,서울 강남구 외,"데이터분석가, 백엔드/서버개발, 앱개발, 웹개발, 웹마스터"
(주)로우카본,(주)로우카본 플랫폼 웹&앱 개발/관리 채용,서울 금천구,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅, 앱개발"
(주)비엔케이시스템,2025년도 상반기 신입직원 채용공고,부산 강서구 외,"데이터엔지니어, 보안컨설팅, 앱개발, 웹개발, 정보보안"
동성인재개발교육원,[국비무료]무역/물류 실무자 취업률100%(고용24)훈련생 모집,부산전체 외,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발"
(주)디엔솔루션즈,2024년 DN솔루션즈 경력사원 수시채용,경남 창원시 외,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅, 웹개발"
현대오토에버(주),차량SW · ICT · 경영지원 부문 채용,서울 강남구 외,"기술지원, 데이터분석가, 백엔드/서버개발, 보안컨설팅, 정보보안"
넛지헬스케어(주),[넛지헬스케어] 백엔드/서버 개발자,서울 강남구,"기술지원, 데이터분석가, 백엔드/서버개발, 앱개발, 웹개발"
(주)위뉴,[위뉴] 헬스케어 개발자 팀장급 채용,경기 고양시 일산동구,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발"
(주)테이아,(주)테이아 현대모비스 PLM 운영 경력직 채용,경기 과천시,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발"
법무법인와이케이,[국내TOP7 로펌/법무법인YK] 개발자 채용건(프론트엔드/백엔드),서울 강남구,"데이터분석가, 백엔드/서버개발, 웹개발, 프론트엔드, 웹기획"
샘표(주),2024 샘표식품 직무별 수시 채용,서울 중구 외,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 정보보안, DBA"
(주)아크도,"개발자 (프론트, 백엔드) 계약직 채용",서울 금천구 외,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발"
(사)한국아이씨티기술협회,[국비무료IT취업]자바파이썬/웹개발/빅데이터/인공지능,서울전체 외,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발"
(주)더존비즈온,종합병원 EMR 개발 /기획(부산) 채용공고,부산 해운대구 외,"백엔드/서버개발, 앱개발, 웹개발, 유지보수, 프론트엔드"
다이닝브랜즈그룹(주),2024 다이닝브랜즈그룹 대졸 신입사원 채용,서울 송파구 외,"기술지원, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅, 앱개발"
(주)고퀄,[주식회사 고퀄] 프론트엔드 개발자 채용 (5년 이상),서울 금천구,"기술지원, 데이터엔지니어, 앱개발, 웹개발, 유지보수"
(주)더캐리,2024년 (주)더캐리 IT인력(정보혁신부) 전 부문 공개채용,서울 강남구,"데이터분석가, 백엔드/서버개발, 앱개발, 웹개발, 프론트엔드"
(주)위펀,(주)위펀 - Frontend Engineer (React),서울 강남구 외,"백엔드/서버개발, 앱개발, 웹개발, 웹마스터, 유지보수"
넛지헬스케어(주),[넛지헬스케어] 풀스택개발 산업기능요원 (병역특례),서울 강남구,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발"
㈜피앤피시큐어,연구개발 부문(소프트웨어 연구 개발 직군) 경력 채용,서울 강서구,"기술지원, 백엔드/서버개발, 보안컨설팅, 앱개발, 웹개발"
주식회사식자재쿡,"프론트, 백엔드 앱 개발자 채용 [부산본사, 서울지사 근무]",부산 수영구,"기술지원, 백엔드/서버개발, 앱개발, 웹개발, 웹마스터"
넛지헬스케어(주),[넛지헬스케어] 안드로이드개발 채용전환형 인턴,서울 강남구,"기술지원, 데이터분석가, 앱개발, 유지보수, 프론트엔드"
넛지헬스케어(주),[넛지헬스케어] 프론트엔드개발 산업기능요원,서울 강남구,"기술지원, 데이터분석가, 앱개발, 웹개발, 웹마스터"
(주)화이트스캔,[데이터 분석] 경력직 채용,서울 용산구 외,"데이터분석가, 데이터엔지니어, 데이터마이닝, 딥러닝, 머신러닝"
(주)중외정보기술,[중외정보기술]  보안솔루션 / 정보보호 운영자 (SM) 모집,경기 과천시,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 유지보수"
아우토크립트(주),아우토크립트 인재풀,서울 영등포구,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅, 앱개발"
캐논코리아 주식회사,2024년 12월 캐논코리아 신입사원(채용연계형인턴)모집,서울 강남구 외,"데이터엔지니어, 백엔드/서버개발, 보안컨설팅, 앱개발, 웹개발"
법무법인와이케이,"[국내TOP7로펌/법무법인YK] 강남본사 송무직, 상담실장직 채용",서울 강남구 외,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 웹개발, 정보보안"
한국모바일인증(주),한국모바일인증(주) IT개발 및 운영 정규직 채용,서울 구로구,"백엔드/서버개발, 앱개발, 웹개발, 정보보안, 프론트엔드"
울산시설공단,2025년도 상반기 체험형 청년인턴 채용 공고,울산 중구 외,"데이터분석가, 데이터엔지니어, 정보보안, 예산관리, 안내데스크"
(주)이노그리드,(주)이노그리드 D.Tech센터 web3 개발팀(백엔드) 경력직 채용,서울 중구 외,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발"
(주)앤씨앤,"[앤씨앤/넥스트칩] 2024년 12월 연구소, 영업마케팅 각 부문 모집",경기 성남시 분당구 외,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 유지보수"
(주)인피니소프트,[이노페이] PG시스템 IT인프라 시스템엔지니어 채용,서울 금천구,"게임개발, 기술지원, 데이터엔지니어, 백엔드/서버개발, 앱개발"
해커스교육그룹,2024년 해커스 교육그룹 [신입/경력] 각 부문별 채용공고,서울 서초구 외,"백엔드/서버개발, 앱개발, 웹개발, 웹마스터, 유지보수"
(주)에이블테라퓨틱스,인공지능 기획 및 개발자 경력사원 채용,서울 영등포구 외,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발"
한국정보통신(주),일반관리/IT개발 각 부문 채용,서울 중구 외,"기술지원, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅, 앱개발"
경성대학교,"일반행정, 전산 경성대학교의 미래를 함께 할 적극적이고 능력있는 인재를 찾습니다.",부산 남구 외,"게임개발, 백엔드/서버개발, 앱개발, 웹개발, 정보보안"
(주)우리기술,원자력 HW개발/SW개발/철도사업엔지니어/구매생산 분야 채용 모집,서울 마포구 외,"백엔드/서버개발, 보안컨설팅, 앱개발, 정보보안, 프론트엔드"
쓰리알이노베이션(주),[경력 3년] 데이터 엔지니어,서울 서초구,"데이터분석가, 데이터엔지니어, 앱개발, DBA, 네트워크"
FCG,개발자 경력직 채용,경기전체 외,"데이터분석가, 앱개발, 웹개발, 프론트엔드, SE(시스템엔지니어)"
(주)고퀄,[주식회사 고퀄] 서버 개발자 채용 (5년 이상),서울 금천구,"기술지원, 데이터엔지니어, 앱개발, 웹개발, 유지보수"
딱플(주),[딱플] 개발팀 퍼블리셔 경력자 모십니다.,충남 천안시 서북구,"기술지원, 백엔드/서버개발, 앱개발, 웹개발, 웹마스터"
에이엠(주),에이엠㈜ 신입/경력 채용 모집,경기 과천시 외,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅"
(주)세종분석연구원,입찰분석연구원 외 각 부문별 신입 및 경력사원 모집,서울 마포구 외,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발"
(주)다하미커뮤니케이션즈,윈도우 어플리케이션 개발 담당자 신입/경력 채용,서울 중구,"기술지원, 데이터분석가, 앱개발, 웹개발, 웹마스터"
(주)블루시스,"식품B2B 데이터시스템 개발자 채용 [Web, DB, .NET]",경기 성남시 수정구,"데이터분석가, 데이터엔지니어, 앱개발, 웹개발, 유지보수"
티맵모빌리티(주),[티맵모빌리티] Data 조직 (리더),서울 중구,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발"
(주)스카이블루,AI개발 및 플랫폼 고도화 구성원,경기전체 외,"데이터분석가, 앱개발, 웹개발, 프론트엔드, DBA"
(주)페코,"IT (MES, ERP, 그룹웨어 등) 담당자 영입",서울 성동구,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅"
(주)메디씽큐 ,24년 각 부문 신입 및 경력 채용,경기 성남시 외,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발"
(주)포니링크,"㈜포니링크 IT 사업부, 자율주행사업부, 해외패션사업부, 경영기획본부 등 각 본부 채용",서울 영등포구 외,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발"
(주)아이엠폼,[경력] 웹 서비스 아키텍처 PM/PL 모집,서울 강남구,"백엔드/서버개발, 앱개발, 웹개발, 정보보안, 프론트엔드"
(주)위펀,(주)위펀 - Backend Engineer,서울 강남구 외,"백엔드/서버개발, 앱개발, 웹개발, 웹마스터, 유지보수"
(주)스카이오토넷,(주)스카이오토넷 - 영상처리 개발자(병역특례가능),서울 서초구 외,"백엔드/서버개발, 앱개발, 웹개발, 유지보수, 정보보안"
(주)스카이오토넷,자율주행S/W 개발자 채용,서울 서초구 외,"백엔드/서버개발, 앱개발, 웹개발, 유지보수, 정보보안"
(주)이지스,3차원 시각화 연구&개발 채용(부산 기술 연구소),부산 해운대구,"게임개발, 기술지원, 데이터분석가, 데이터엔지니어, 앱개발"
㈜에스피시스템스,에스피시스템스 전산 유지보수 담당 신입/경력직 채용,경남 양산시,"기술지원, 데이터분석가, 데이터엔지니어, 앱개발, 유지보수"
(주)한맥기술,[한맥가족] 기술개발센터 AI 개발자 (경력) 채용,서울 송파구,"기술지원, 데이터분석가, 데이터엔지니어, 앱개발, 웹개발"
이오테크닉스,(주)이오테크닉스 개발자 모집 (AI분야),경기 안양시 동안구,"기술지원, 데이터분석가, 데이터엔지니어, 앱개발, 유지보수"
(주)소타텍코리아,[IT팀리더] Technical Leader (테크 리드) 채용,서울 강남구,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발"
(주)시스콘로보틱스,Robotics ACS Core 개발 파트,인천 서구 외,"기술지원, 백엔드/서버개발, 앱개발, 웹개발, 웹마스터"
티맵모빌리티(주),"[티맵모빌리티] 개발자 채용 (CE,BE,DevOps,Search,DA,개발PM)",서울 중구,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 프론트엔드"
(주)앤솔루션,KEPCO 협력사 앤솔루션에서 Web/App 개발자 모집,전남 나주시,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발"
(주)엔디소프트,[NDSOFT] 글로벌소셜앱 PM 부문 채용공고,부산 해운대구,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발"
(주)덴컴,[음성 AI 기업 덴컴] 백엔드 개발 팀장 채용,서울 강남구 외,"데이터분석가, 백엔드/서버개발, 앱개발, 웹개발, 웹마스터"
람정제주개발(주),제주신화월드 IT 부문 정규직 모집,제주 서귀포시,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발"
(주)클로잇,[클로잇] 엔터프라이즈산업 경력직 공개채용,서울 중구,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발"
(주)엔디소프트,[NDSOFT] 글로벌소셜앱 AI/데이터 부문 채용공고,부산 해운대구,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발"
(주)엔디소프트,[NDSOFT] 글로벌소셜앱 개발자 부문 채용공고,부산 해운대구,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발"
(주)중외정보기술,[중외정보기술]  서버/ 시스템운영 관리 담당자 (SM) 모집,경기 과천시 외,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 유지보수"
(주)중외정보기술,[중외정보기술]  네트워크 운영/ 관리 담당자 (SM) 모집,경기 과천시,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 유지보수"
청목법무사사무소,법무사사무소 CPA·DB 마케팅 (개인회생/파산) 개발자 모집합,경기 고양시 일산서구,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발"
(주)수산아이앤티,[수산그룹] 수산INT 하반기 채용 (영업/개발직군 등),서울 강남구 외,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅"
메이저월드(주),2024년 하반기 정시 채용(신입/경력),서울 송파구 외,"백엔드/서버개발, 앱개발, 웹개발, SE(시스템엔지니어), DBMS"
아우토크립트(주),윈도우 어플리케이션 개발자(팀장급),서울 영등포구,"앱개발, 프론트엔드, 네트워크, Windows, C#"
주식회사 핌아시아,[핌아시아 떠리몰] 이커머스 MD/개발/서비스기획/마케팅/디자인,서울 강남구 외,"데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발, 프론트엔드"
옐로시스(주),알고리즘 및 프론트엔드 개발자,대구전체 외,"데이터분석가, 웹개발, 프론트엔드, DBA, 딥러닝"
(주)지아이티,현대자동차그룹 (주)지아이티 연구소/사업실 대규모 수시채용,서울 송파구 외,"백엔드/서버개발, 앱개발, 웹개발, 웹마스터, 유지보수"
(주)벳플럭스,React 프론트 엔드 개발자,서울 강남구 외,"백엔드/서버개발, 앱개발, 웹개발, 퍼블리셔, 프론트엔드"
(주)큐노바,[R&D/제품개발/자금회계] 부문별 신입/경력 채용,대전 유성구 외,"데이터분석가, 데이터엔지니어, 딥러닝, 모델링, 빅데이터"
비젠트로(주),(삼성SDS분사社) 비젠트로㈜ 하반기 채용,경기 성남시 외,"보안컨설팅, 정보보안, 프론트엔드, 솔루션, 인프라"
넛지헬스케어(주),[넛지헬스케어] iOS개발 채용전환형 인턴,서울 강남구,"앱개발, 웹개발, 유지보수, 프론트엔드, Flutter"
넛지헬스케어(주),[넛지헬스케어] 백엔드개발 채용전환형 인턴,서울 강남구,"백엔드/서버개발, 앱개발, 웹개발, 웹마스터, 유지보수"
(주)위즈코리아,"㈜위즈코리아/㈜위즈COK SE(시스템 엔지니어), PM 채용",서울 강서구 외,"백엔드/서버개발, 웹개발, 유지보수, 정보보안, 솔루션"
피에프씨테크놀로지스(주),보안엔지니어 (security engineer)(경력5~10년),서울 서초구 외,"백엔드/서버개발, 보안컨설팅, 웹개발, 정보보안, 프론트엔드"
(주)라이프오아시스,React-Native 개발 / 3년 이상,서울 성동구 외,"백엔드/서버개발, 앱개발, 웹개발, 프론트엔드, 인프라"
"주식회사불마켓랩스(BullMarketLabsCo.,Ltd.)",Front-End Engineer,서울 강남구 외,"앱개발, 웹개발, 프론트엔드, Android, ECMAScript"
(주)에스제이엠엔씨,OTT 기술/서비스 기획 신입/경력 채용,서울 송파구 외,"백엔드/서버개발, 앱개발, 웹개발, 프론트엔드, SE(시스템엔지니어)"
